anonymous_id,flag_start_ts,flag_end_ts,duration_days,n_tweets_in_span,peak_window_sad_frac,user_baseline_sad_frac,excess_over_baseline
user_001,2009-08-31T00:28:42+00:00,2009-08-31T08:09:27+00:00,0.32,33,0.55,0.3302,0.2198
user_001,2009-08-31T14:12:37+00:00,2009-09-01T02:07:51+00:00,0.5,40,0.65,0.3302,0.3198
user_001,2009-09-01T15:35:47+00:00,2009-09-02T02:07:21+00:00,0.44,22,0.5,0.3302,0.1698
user_005,2013-01-03T18:20:35+00:00,2013-01-03T20:10:43+00:00,0.08,38,0.6,0.2857,0.3143
user_005,2013-01-08T02:09:39+00:00,2013-01-08T11:02:52+00:00,0.37,24,0.5,0.2857,0.2143
user_031,2015-04-07T13:29:07+00:00,2015-04-08T18:13:36+00:00,1.2,40,0.85,0.5293,0.3207
user_031,2015-04-09T01:15:03+00:00,2015-04-11T07:04:26+00:00,2.24,67,0.9,0.5293,0.3707
user_031,2015-04-11T07:04:25+00:00,2015-04-11T22:04:34+00:00,0.63,22,0.7,0.5293,0.1707
user_031,2015-04-11T11:13:00+00:00,2015-04-12T05:14:30+00:00,0.75,25,0.75,0.5293,0.2207
user_031,2015-04-16T07:19:32+00:00,2015-04-17T16:09:52+00:00,1.37,45,0.85,0.5293,0.3207
user_031,2015-04-17T05:08:33+00:00,2015-04-18T15:04:08+00:00,1.41,43,0.9,0.5293,0.3707
user_031,2015-04-25T13:17:41+00:00,2015-04-26T19:17:41+00:00,1.25,38,0.75,0.5293,0.2207
user_031,2015-04-26T04:04:27+00:00,2015-04-27T13:14:37+00:00,1.38,39,0.8,0.5293,0.2707
user_031,2015-04-30T01:18:04+00:00,2015-04-30T19:21:09+00:00,0.75,24,0.7,0.5293,0.1707
user_031,2015-04-30T12:18:52+00:00,2015-05-02T09:09:32+00:00,1.87,59,0.95,0.5293,0.4207
user_031,2015-05-03T19:10:24+00:00,2015-05-04T12:15:27+00:00,0.71,25,0.75,0.5293,0.2207
user_031,2015-05-04T02:16:37+00:00,2015-05-06T00:15:04+00:00,1.92,66,0.95,0.5293,0.4207
user_037,2015-08-22T07:44:03+00:00,2015-08-23T19:03:08+00:00,1.47,23,0.45,0.1111,0.3389
user_042,2015-10-10T23:45:31+00:00,2015-10-11T11:15:21+00:00,0.48,24,0.5,0.2754,0.2246
user_042,2015-10-12T04:15:06+00:00,2015-10-12T15:15:46+00:00,0.46,22,0.45,0.2754,0.1746
user_042,2015-10-12T06:15:10+00:00,2015-10-13T08:05:14+00:00,1.08,48,0.55,0.2754,0.2746
user_042,2015-10-12T23:45:37+00:00,2015-10-13T22:05:31+00:00,0.93,24,0.5,0.2754,0.2246
user_042,2015-10-15T10:15:43+00:00,2015-10-16T11:05:25+00:00,1.03,22,0.45,0.2754,0.1746
user_042,2015-11-01T14:15:28+00:00,2015-11-03T11:15:33+00:00,1.88,31,0.55,0.2754,0.2746
